Name	Fitness	stderror	variance
Y_9_t1000 vs Y_allFlasks_averaged	0.0264152754015282	0.000725833591437782	1.58050320737841e-06
40	0.0289465802700526	0.00326630632205838	2.1337513979037e-05
100	0.0222244021442323	0.00587856679984301	6.9115095240433e-05
160	0.0181897303761624	0.00211519615015243	8.94810950723933e-06
220	0.0234393041558716	0.000543877724533031	5.91605958486455e-07
Y_10_t1000 vs Y_allFlasks_averaged	0.023253545504829	0.00042294689568805	5.36652229716475e-07
41	0.174199420628826	NA	NA
101	0.367064909427651	0.0929379000864884	0.0259123598174583
161	0.3845407454457	0.0981104053577364	0.0288769549183781
221	0.404255797692254	0.0985957615162048	0.029163372566881
P_1_t1000 vs P_allFlasks_averaged	0.332079526892184	0.048239096319474	0.00698103124115847
42	0.19799129924343	NA	NA
102	0.36317748758072	0.106113334816858	0.0337801194778638
162	0.350912491564489	0.103264951765932	0.0319909507896609
222	0.371510930406471	0.118796189768684	0.0423376041106714
P_2_t1000 vs P_allFlasks_averaged	0.320672075270245	0.054498161860244	0.00891014893843606
43	0.0912546139142964	NA	NA
103	0.291633324970524	0.0888096409311762	0.0236614569669734
163	0.318541161412731	0.107470029968797	0.0346494220244827
223	0.327958675069377	0.114334146050579	0.0392168908593451
P_3_t1000 vs P_allFlasks_averaged	0.256613733260202	0.0511544713088311	0.00785033980465806
44	0.23779147228254	NA	NA
104	0.578150181578546	0.189095180954036	0.071513974920079
164	0.519048723549648	0.213413571471367	0.0910907049763289
224	0.65608629352313	0.130063992241766	0.0338332841557324
P_4_t1000 vs P_allFlasks_averaged	0.527380138825185	0.0691102796236183	0.0143286922489641
45	0.15338388345437	NA	NA
105	0.310829224092525	0.104244883468057	0.0326009871878061
165	0.361851626702883	0.108541295717749	0.0353436386282634
225	0.342014573606694	0.111389803973974	0.0372230652880809
P_5_t1000 vs P_allFlasks_averaged	0.291505254787821	0.0539889862430212	0.00874443190664739
46	0.220532125191843	NA	NA
106	0.371979665341582	0.093675896764049	0.0263255209036463
166	0.389988282684044	0.128375739834972	0.0494409917345296
226	0.357512271526235	0.135225484304431	0.0548577948161039
P_6_t1000 vs P_allFlasks_averaged	0.338001196506136	0.0579067831565793	0.0100595866066293
47	0.158709891496877	NA	NA
107	0.373393921743528	0.095397945284755	0.0273023038936593
167	0.536851495896232	0.174394019905616	0.060826548357681
227	0.401336359816724	0.104623467517738	0.0328382098663054
P_7_t1000 vs P_allFlasks_averaged	0.356905604689648	0.0554735347020991	0.00923193915703498
48	0.188464480150414	NA	NA
108	0.358216600144486	0.107721222565648	0.0348115853731137
168	0.514456020362159	0.185931374924041	0.0691409523622882
228	0.3984684008023	0.105311157307899	0.033271319560587
P_8_t1000 vs P_allFlasks_averaged	0.355676230120982	0.0592014697642345	0.0105144420667367
49	0.177612290406908	NA	NA
109	0.372877824494874	0.0927366751333619	0.0258002727443721
169	0.344287746131597	0.117081467739607	0.0411242102641816
229	0.360800512003749	0.0946016350838555	0.0268484080816169
P_9_t1000 vs P_allFlasks_averaged	0.317010669000633	0.0501921897424279	0.00755776773341964
50	0.150255651309311	NA	NA
110	0.372892907700641	0.0818730165609684	0.0201095725223778
170	0.365726738304429	0.109515015187618	0.0359806156546328
230	0.414658915764914	0.099471140117787	0.0296835231489972
P_10_t1000 vs P_allFlasks_averaged	0.327888021537281	0.0477516403610712	0.00684065747151924
51	0.138612952695658	0.0301175603561	0.00181413488360666
111	0.156633080981135	0.0116513443033541	0.000407261472225908
171	0.178017577430451	0.0110568679813036	0.000366762988667933
231	0.147411225051397	0.0148219934990358	0.000439382982570916
A_1_t1000 vs A_allFlasks_averaged	0.160052262742837	0.00645129314447087	0.000124857549707691
52	0.315619983501043	0.0393655938832363	0.00309929996355978
112	0.309121211828885	0.0196222294595336	0.00115509566688777
172	0.278050966108079	0.0147078861302831	0.000648965743264123
232	0.29878515236455	0.0103472427317408	0.000321196296448686
A_2_t1000 vs A_allFlasks_averaged	0.295778037651341	0.00755325553788626	0.000171155007661828
53	0.220901342319657	0.0476826120266468	0.00454726297936745
113	0.231597313502683	0.0131945545892691	0.000522288812427604
173	0.226954287492055	0.00737960210925282	0.000163375581872666
233	0.229906823066228	0.00721724848254315	0.000104177351317543
A_3_t1000 vs A_allFlasks_averaged	0.228964996153918	0.00432082043436117	5.6008467677979e-05
54	0.251405808169162	0.00637870634023463	8.1375789149899e-05
114	0.241470602828385	0.00723240224331093	0.000156922926627147
174	0.240992595620028	0.0192590107775437	0.00111272848838863
234	0.24067943252008	0.0109375988279556	0.000239262136242594
A_4_t1000 vs A_allFlasks_averaged	0.246456153866534	0.00374717713975362	4.21240095500764e-05
55	0.202533243543254	0.0154173205767002	0.000475387547529485
115	0.215736558507387	0.00896159352040217	0.000240930475274743
175	0.229019191165183	0.0130892275182446	0.000513983631073114
235	0.230734538942809	0.00272747663296096	1.48782575666961e-05
A_5_t1000 vs A_allFlasks_averaged	0.229078164015652	0.00210242003651338	1.32605100297988e-05
56	0.232155465394307	0.00179671467099407	6.45636721793069e-06
116	0.252552273359321	0.00896757371294119	0.000241252134891102
176	0.235238538140753	0.00353465601297031	3.74813793900815e-05
236	0.205157913765171	0.000303250690226769	1.83921962246024e-07
A_6_t1000 vs A_allFlasks_averaged	0.206079258941932	0.000243479879389515	1.77847355002599e-07
57	0.269711114835368	0.0385515019330713	0.0029724366025912
117	0.257703511160445	0.00907817019815764	0.000247239522440153
177	0.272429257113612	0.00657838397499144	0.000129825407167272
237	0.2817069262999	0.0444064871919165	0.0039438722094517
A_7_t1000 vs A_allFlasks_averaged	0.267718121704042	0.00519791757303771	8.10550412882827e-05
58	0.241364861113042	0.00201933965764542	8.15546530587905e-06
118	0.238640788220276	0.0130071458570812	0.000507557530042156
178	0.232268362600173	0.0229595739857758	0.00158142611282494
238	0.252956320809073	0.0264122715403886	0.00139521617584644
A_8_t1000 vs A_allFlasks_averaged	0.241342539491248	0.00162691041197132	7.94051246574205e-06
59	0.300708802792094	0.0436883998333696	0.00381735256000073
119	0.250902585898164	0.00243396359376888	1.77725363273769e-05
179	0.249838861413748	0.0179802313201346	0.00096986615497665
239	0.24599349023619	0.00332046847202239	2.20510217473894e-05
A_9_t1000 vs A_allFlasks_averaged	0.248855399774518	0.00179975217634955	9.71732368882481e-06
60	0.231144277755969	0.0142571446622855	0.00040653234784267
120	0.252827425785529	0.00622269418649571	0.000116165768815943
180	0.246378606534152	0.0176944904886408	0.000939284980957797
240	0.260716446747583	0.018396569044249	0.000676867505199644
A_10_t1000 vs A_allFlasks_averaged	0.24926045913187	0.00494887306971189	7.34740339803587e-05
